glacier,cell,sed,Debri,,melt,z
32.5,Cell 9:,1497.6,5.690346821,Hydro.9.out,3825.087979,2473.94882
32.5,Cell 10:,1465.56,4.325957453,Hydro.10.out,3836.947794,2595.943726
32.5,Cell 15:,998.61,4.405488815,Hydro.15.out,2643.375008,3537.793567
32.5,Cell 16:,156.96,0.380536514,Hydro.16.out,691.8746855,3951.920691
32.5,Cell 17:,111.31,0,Hydro.17.out,538.9731494,4190.993832
32.5,Cell 18:,12.36,0,Hydro.18.out,73.37912568,4537.516726
32.5,Cell 21:,0,0,Hydro.21.out,5.344358114,4403.639864
32.5,Cell 22:,0,0,Hydro.22.out,0.291542562,4765.937079
32.5,Cell 23:,0,0,Hydro.23.out,5.045890358,4716.770366
32.5,Cell 24:,0,0,Hydro.24.out,5.504855155,4703.864104
27.5,Cell 9:,1166.27,4.162620156,Hydro.9.out,3236.612905,2473.94882
27.5,Cell 10:,1142.24,3.755143308,Hydro.10.out,3246.648133,2595.943726
27.5,Cell 15:,778.21,3.350618429,Hydro.15.out,2236.70193,3537.793567
27.5,Cell 16:,122.59,0.381630999,Hydro.16.out,585.4324262,3951.920691
27.5,Cell 17:,87,0.088779752,Hydro.17.out,456.0542034,4190.993832
27.5,Cell 18:,9.63,0,Hydro.18.out,62.09002942,4537.516726
27.5,Cell 21:,0,0,Hydro.21.out,4.522149173,4403.639864
27.5,Cell 22:,0,0,Hydro.22.out,0.24668986,4765.937079
27.5,Cell 23:,0,0,Hydro.23.out,4.269599534,4716.770366
27.5,Cell 24:,0,0,Hydro.24.out,4.657954362,4703.864104
22.5,Cell 9:,865.04,3.596277178,Hydro.9.out,2648.137831,2473.94882
22.5,Cell 10:,846.41,2.775160585,Hydro.10.out,2656.348473,2595.943726
22.5,Cell 15:,578.24,3.208723019,Hydro.15.out,1830.028852,3537.793567
22.5,Cell 16:,91.21,0.382725485,Hydro.16.out,478.9901669,3951.920691
22.5,Cell 17:,64.69,0.089817812,Hydro.17.out,373.1352573,4190.993832
22.5,Cell 18:,7.14,0,Hydro.18.out,50.80093316,4537.516726
22.5,Cell 21:,0,0,Hydro.21.out,3.699940233,4403.639864
22.5,Cell 22:,0,0,Hydro.22.out,0.201837158,4765.937079
22.5,Cell 23:,0,0,Hydro.23.out,3.49330871,4716.770366
22.5,Cell 24:,0,0,Hydro.24.out,3.811053569,4703.864104
17.5,Cell 9:,595.33,2.896309128,Hydro.9.out,2059.662758,2473.94882
17.5,Cell 10:,582.38,2.26631481,Hydro.10.out,2066.048812,2595.943726
17.5,Cell 15:,398.98,2.811240111,Hydro.15.out,1423.355774,3537.793567
17.5,Cell 16:,63.16,0.38381997,Hydro.16.out,372.5479076,3951.920691
17.5,Cell 17:,44.88,0.179396948,Hydro.17.out,290.2163112,4190.993832
17.5,Cell 18:,4.91,0,Hydro.18.out,39.51183691,4537.516726
17.5,Cell 21:,0,0,Hydro.21.out,2.877731292,4403.639864
17.5,Cell 22:,0,0,Hydro.22.out,0.156984457,4765.937079
17.5,Cell 23:,0,0,Hydro.23.out,2.717017885,4716.770366
17.5,Cell 24:,0,0,Hydro.24.out,2.964152776,4703.864104
12.5,Cell 9:,362.51,2.745232721,Hydro.9.out,1471.187684,2473.94882
12.5,Cell 10:,353.83,1.863364848,Hydro.10.out,1475.749152,2595.943726
12.5,Cell 15:,244.23,2.778425324,Hydro.15.out,1016.682696,3537.793567
12.5,Cell 16:,38.87,0.384914455,Hydro.16.out,266.1056483,3951.920691
12.5,Cell 17:,27.61,0.180933533,Hydro.17.out,207.2973652,4190.993832
12.5,Cell 18:,2.98,0,Hydro.18.out,28.22274065,4537.516726
12.5,Cell 21:,0,0,Hydro.21.out,2.055522352,4403.639864
12.5,Cell 22:,0,0,Hydro.22.out,0.112131755,4765.937079
12.5,Cell 23:,0,0,Hydro.23.out,1.940727061,4716.770366
12.5,Cell 24:,0,0,Hydro.24.out,2.117251983,4703.864104
7.5,Cell 9:,172.2,2.347129605,Hydro.22.out,0.067279053,2473.94882
7.5,Cell 10:,167.73,1.738396544,Hydro.23.out,1.164436237,2595.943726
7.5,Cell 15:,118,2.745610538,Hydro.24.out,1.27035119,3537.793567
7.5,Cell 16:,19.06,0.386008941,Hydro.9.out,882.7126105,3951.920691
7.5,Cell 17:,13.53,0.182470117,Hydro.10.out,885.4494909,4190.993832
7.5,Cell 18:,1.41,0,Hydro.15.out,610.0096173,4537.516726
7.5,Cell 21:,0,0,Hydro.16.out,159.663389,4403.639864
7.5,Cell 22:,0,0,Hydro.17.out,124.3784191,4765.937079
7.5,Cell 23:,0,0,Hydro.18.out,16.93364439,4716.770366
7.5,Cell 24:,0,0,Hydro.21.out,1.233313411,4703.864104
2.5,Cell 9:,38.6,2.045314847,Hydro.9.out,294.2375368,2473.94882
2.5,Cell 10:,36.8,1.448884303,Hydro.10.out,295.1498303,2595.943726
2.5,Cell 15:,29.09,2.540708777,Hydro.15.out,203.3365391,3537.793567
2.5,Cell 16:,5.04,0.299251352,Hydro.16.out,53.22112965,3951.920691
2.5,Cell 17:,3.79,0.272513944,Hydro.17.out,41.45947303,4190.993832
2.5,Cell 18:,0.31,0,Hydro.18.out,5.644548129,4537.516726
2.5,Cell 21:,0,0,Hydro.21.out,0.41110447,4403.639864
2.5,Cell 22:,0,0,Hydro.22.out,0.022426351,4765.937079
2.5,Cell 23:,0,0,Hydro.23.out,0.388145412,4716.770366
2.5,Cell 24:,0,0,Hydro.24.out,0.423450397,4703.864104
