glacier,cell,sed,Debri,,melt,z
32.5,Cell 12:,1134.04,240.150868,Hydro.12.out,2266.437273,4006.004075
32.5,Cell 13:,1004.87,217.5109297,Hydro.13.out,2008.374154,4116.321887
32.5,Cell 14:,945.47,185.3032687,Hydro.14.out,2036.296114,4106.181252
32.5,Cell 19:,1352.51,185.346804,Hydro.19.out,3350.361439,3513.10778
32.5,Cell 20:,485.68,88.45267543,Hydro.20.out,1216.905359,4432.013155
32.5,Cell 21:,44.57,8.108676676,Hydro.21.out,132.6701125,5007.775847
32.5,Cell 22:,0,0,Hydro.22.out,0.823520783,5149.130146
32.5,Cell 23:,0,0,Hydro.23.out,0.718980734,5078.555427
32.5,Cell 28:,613.73,60.80982439,Hydro.28.out,2021.445208,4167.12749
32.5,Cell 29:,53.19,10.03923646,Hydro.29.out,201.5320094,5154.55897
32.5,Cell 30:,0,0,Hydro.30.out,0.060101096,5603.102794
32.5,Cell 31:,0,0,Hydro.31.out,0.047725726,5558.647891
32.5,Cell 38:,0,0,Hydro.38.out,0.052580836,5809.090834
27.5,Cell 12:,965.24,220.2140074,Hydro.12.out,1917.754616,4006.004075
27.5,Cell 13:,854.56,197.7683647,Hydro.13.out,1699.393515,4116.321887
27.5,Cell 14:,796.22,167.4349579,Hydro.14.out,1723.019789,4106.181252
27.5,Cell 19:,1105.54,163.6810046,Hydro.19.out,2834.921217,3513.10778
27.5,Cell 20:,414.29,82.83879901,Hydro.20.out,1029.68915,4432.013155
27.5,Cell 21:,39.2,8.057104781,Hydro.21.out,112.259326,5007.775847
27.5,Cell 22:,0,0,Hydro.22.out,0.696825278,5149.130146
27.5,Cell 23:,0,0,Hydro.23.out,0.608368313,5078.555427
27.5,Cell 28:,500.65,55.67136653,Hydro.28.out,1710.453638,4167.12749
27.5,Cell 29:,46.67,9.928299956,Hydro.29.out,170.5270849,5154.55897
27.5,Cell 30:,0,0,Hydro.30.out,0.050854774,5603.102794
27.5,Cell 31:,0,0,Hydro.31.out,0.040383307,5558.647891
27.5,Cell 38:,0,0,Hydro.38.out,0.044491477,5809.090834
22.5,Cell 12:,808.04,200.5041485,Hydro.12.out,1569.071959,4006.004075
22.5,Cell 13:,716.39,179.639085,Hydro.13.out,1390.412876,4116.321887
22.5,Cell 14:,660.36,151.8590187,Hydro.14.out,1409.743463,4106.181252
22.5,Cell 19:,883.6,146.7800323,Hydro.19.out,2319.480996,3513.10778
22.5,Cell 20:,348.99,77.82374817,Hydro.20.out,842.4729409,4432.013155
22.5,Cell 21:,33.74,7.656845194,Hydro.21.out,91.84853942,5007.775847
22.5,Cell 22:,0,0,Hydro.22.out,0.570129773,5149.130146
22.5,Cell 23:,0,0,Hydro.23.out,0.497755893,5078.555427
22.5,Cell 28:,398.07,51.56997738,Hydro.28.out,1399.462067,4167.12749
22.5,Cell 29:,40.69,9.817753206,Hydro.29.out,139.5221604,5154.55897
22.5,Cell 30:,0,0,Hydro.30.out,0.041608451,5603.102794
22.5,Cell 31:,0,0,Hydro.31.out,0.033040887,5558.647891
22.5,Cell 38:,0,0,Hydro.38.out,0.036402117,5809.090834
17.5,ell 12:,670.14,185.3567584,Hydro.12.out,1220.389301,4006.004075
17.5,Cell 13:,595.4,165.7465549,Hydro.13.out,1081.432237,4116.321887
17.5,Cell 14:,540.59,139.6344695,Hydro.14.out,1096.467138,4106.181252
17.5,Cell 19:,685.21,132.3280665,Hydro.19.out,1804.040775,3513.10778
17.5,Cell 20:,289.79,73.04461761,Hydro.20.out,655.2567318,4432.013155
17.5,Cell 21:,29.19,7.529595173,Hydro.21.out,71.43775288,5007.775847
17.5,Cell 22:,0,0,Hydro.22.out,0.443434268,5149.130146
17.5,Cell 23:,0,0,Hydro.23.out,0.387143472,5078.555427
17.5,Cell 28:,304.31,46.74238653,Hydro.28.out,1088.470497,4167.12749
17.5,Cell 29:,35.06,9.539828402,Hydro.29.out,108.5172359,5154.55897
17.5,Cell 30:,0,0,Hydro.30.out,0.032362129,5603.102794
17.5,Cell 31:,0,0,Hydro.31.out,0.025698468,5558.647891
17.5,Cell 38:,0,0,Hydro.38.out,0.028312758,5809.090834
12.5,Cell 12:,549.74,172.3988494,Hydro.12.out,871.7066436,4006.004075
12.5,Cell 13:,490.42,154.2969445,Hydro.13.out,772.4515977,4116.321887
12.5,Cell 14:,435.7,128.9130104,Hydro.14.out,783.1908131,4106.181252
12.5,Cell 19:,511.1,118.9833551,Hydro.19.out,1288.600553,3513.10778
12.5,Cell 20:,237.57,68.55753286,Hydro.20.out,468.0405227,4432.013155
12.5,Cell 21:,25.2,7.402809043,Hydro.21.out,51.02696634,5007.775847
12.5,Cell 22:,0,0,Hydro.22.out,0.316738763,5149.130146
12.5,Cell 23:,0,0,Hydro.23.out,0.276531052,5078.555427
12.5,Cell 28:,224.89,43.97666786,Hydro.28.out,777.4789263,4167.12749
12.5,Cell 29:,30.38,9.442107693,Hydro.29.out,77.51231132,5154.55897
12.5,Cell 30:,0,0,Hydro.30.out,0.023115806,5603.102794
12.5,Cell 31:,0,0,Hydro.31.out,0.018356048,5558.647891
12.5,Cell 38:,0,0,Hydro.38.out,0.020223398,5809.090834
7.5,Cell 12:,446.76,159.7825369,Hydro.12.out,523.0239862,4006.004075
7.5,Cell 13:,400.96,143.3974375,Hydro.13.out,463.4709586,4116.321887
7.5,Cell 14:,347.56,119.3495939,Hydro.14.out,469.9144878,4106.181252
7.5,Cell 19:,366.92,107.6682421,Hydro.19.out,773.160332,3513.10778
7.5,Cell 20:,194.1,64.73461337,Hydro.20.out,280.8243136,4432.013155
7.5,Cell 21:,21.88,7.281009155,Hydro.21.out,30.61617981,5007.775847
7.5,Cell 22:,0,0,Hydro.22.out,0.190043258,5149.130146
7.5,Cell 23:,0,0,Hydro.23.out,0.165918631,5078.555427
7.5,Cell 28:,158.44,40.94090399,Hydro.28.out,466.4873558,4167.12749
7.5,Cell 29:,26.65,9.435100041,Hydro.29.out,46.50738679,5154.55897
7.5,Cell 30:,0,0,Hydro.30.out,0.013869484,5603.102794
7.5,Cell 31:,0,0,Hydro.31.out,0.011013629,5558.647891
7.5,Cell 38:,0,0,Hydro.38.out,0.012134039,5809.090834
2.5,Cell 12:,365.46,146.820473,Hydro.12.out,174.3413287,4006.004075
2.5,Cell 13:,334.26,134.8093425,Hydro.13.out,154.4903195,4116.321887
2.5,Cell 14:,279.65,110.1225832,Hydro.14.out,156.6381626,4106.181252
