glacier,cell,sed,Debri,,melt,z
32.5,Cell 13:,1627.28,237.4290803,Hydro.13.out,4031.727318,3197.314081
32.5,Cell 14:,1077.86,206.0202568,Hydro.14.out,2593.261986,3815.07334
32.5,Cell 22:,54.1,12.69956417,Hydro.22.out,193.3061921,4786.320778
32.5,Cell 23:,523.73,78.70365517,Hydro.23.out,1666.157331,4069.613509
32.5,Cell 24:,692.47,85.74861394,Hydro.24.out,2230.204426,3945.877282
32.5,Cell 25:,274.49,51.80739852,Hydro.25.out,922.7129145,4683.685265
32.5,Cell 26:,19.87,5.310920503,Hydro.26.out,60.29496529,5310.663283
32.5,Cell 32:,0,0,Hydro.32.out,0.006769608,5455.397794
32.5,Cell 33:,61.96,7.285494229,Hydro.33.out,378.887628,4705.298133
32.5,Cell 34:,462.3,35.04254396,Hydro.34.out,1932.394453,3962.573479
32.5,Cell 35:,423.22,30.64927561,Hydro.35.out,1875.580825,4028.84611
32.5,Cell 36:,119.71,10.5962173,Hydro.36.out,747.739507,4679.792901
32.5,Cell 37:,17.06,1.56696525,Hydro.37.out,150.1469803,5174.635378
32.5,Cell 38:,8.07,0.488333831,Hydro.38.out,84.6490467,5260.062542
32.5,Cell 42:,0.01,0,Hydro.42.out,0.282071766,5403.260592
32.5,Cell 43:,0.02,0,Hydro.43.out,0.402877386,5214.378471
32.5,Cell 44:,200.94,12.00047895,Hydro.44.out,1153.615933,4418.799601
32.5,Cell 45:,506.12,16.82281918,Hydro.45.out,2351.363404,3828.594186
32.5,Cell 46:,339.73,11.93585952,Hydro.46.out,1848.417028,4093.889574
32.5,Cell 47:,49.91,1.07966339,Hydro.47.out,497.3974183,4971.310535
32.5,Cell 48:,0,0,Hydro.48.out,0.016743748,5633.217405
32.5,Cell 49:,0,0,Hydro.49.out,0.004157997,5717.108109
32.5,Cell 53:,0,0,Hydro.53.out,0.050158826,5676.340709
32.5,Cell 54:,4.38,0.05103546,Hydro.54.out,51.63803617,5308.61467
32.5,Cell 55:,238.01,5.548641258,Hydro.55.out,1457.226448,4382.436719
32.5,Cell 56:,549.42,8.805180345,Hydro.56.out,2669.283593,3855.94317
32.5,Cell 57:,301.54,4.502625129,Hydro.57.out,1854.149347,4332.552992
32.5,Cell 58:,43.4,0,Hydro.58.out,492.1438628,5184.980874
32.5,Cell 59:,5.79,0,Hydro.59.out,82.42361656,5523.104455
32.5,Cell 60:,20.74,0.187717396,Hydro.60.out,235.1315093,5407.66511
32.5,Cell 63:,0,0,Hydro.63.out,0.252582842,5665.073338
32.5,Cell 64:,0,0,Hydro.64.out,0.019751063,5808.681111
32.5,Cell 65:,62.4,0.04526432,Hydro.65.out,580.8802895,5107.543301
32.5,Cell 66:,550.3,4.897662458,Hydro.66.out,2715.522436,4051.483284
32.5,Cell 67:,745.65,4.786453351,Hydro.67.out,3393.998591,3911.563014
32.5,Cell 68:,233.23,1.723277096,Hydro.68.out,1599.569158,4715.746059
32.5,Cell 69:,48.05,0.090021679,Hydro.69.out,515.5175905,5313.121619
32.5,Cell 74:,0,0,Hydro.74.out,0.172342048,5825.377307
32.5,Cell 75:,21.18,0.209390339,Hydro.75.out,220.8972795,5550.248577
32.5,Cell 76:,304.87,1.555972889,Hydro.76.out,1804.517046,4616.593189
32.5,Cell 77:,663.68,2.71425486,Hydro.77.out,3103.275146,4127.998981
32.5,Cell 78:,295.69,0.976946248,Hydro.78.out,1846.702821,4672.725186
32.5,Cell 79:,59.17,0,Hydro.79.out,584.6025503,5295.093824
32.5,Cell 85:,18.12,1.041156028,Hydro.85.out,156.961781,5690.783431
32.5,Cell 86:,158.79,0.803535487,Hydro.86.out,1104.43859,5077.735982
32.5,Cell 87:,421.27,0.763729152,Hydro.87.out,2241.428838,4559.334454
32.5,Cell 88:,284,0.551039983,Hydro.88.out,1746.52959,4777.921465
27.5,Cell 13:,1333.31,211.23812,Hydro.13.out,3411.461577,3197.314081
27.5,Cell 14:,907.15,188.2413653,Hydro.14.out,2194.298604,3815.07334
27.5,Cell 22:,48.07,12.13385826,Hydro.22.out,163.5667779,4786.320778
27.5,Cell 23:,437.42,72.73925699,Hydro.23.out,1409.825434,4069.613509
27.5,Cell 24:,569.62,78.46009469,Hydro.24.out,1887.096053,3945.877282
27.5,Cell 25:,236.48,49.26486372,Hydro.25.out,780.7570815,4683.685265
27.5,Cell 26:,18.07,5.159176554,Hydro.26.out,51.01881678,5310.663283
27.5,Cell 32:,0,0,Hydro.32.out,0.00572813,5455.397794
27.5,Cell 33:,51.78,6.879855527,Hydro.33.out,320.5972237,4705.298133
27.5,Cell 34:,374.82,33.02576121,Hydro.34.out,1635.102999,3962.573479
27.5,Cell 35:,342.08,28.47135172,Hydro.35.out,1587.029929,4028.84611
27.5,Cell 36:,99.19,10.33337227,Hydro.36.out,632.7026598,4679.792901
27.5,Cell 37:,14.28,1.524358376,Hydro.37.out,127.0474449,5174.635378
